permutation,group,scope,task,ba
60,VisualCogB_Task-1,record,1,0.5636766334440753
60,VisualCogB_Task-2,record,2,0.48294723294723296
61,all,all,0,0.4775828460038986
61,task1,task,1,0.47682494684620835
61,task2,task,2,0.47681778039446576
61,VisualCogA_Task-1,record,1,0.37616279069767444
61,VisualCogA_Task-2,record,2,0.4103695532266961
61,VisualCogB_Task-1,record,1,0.5761351052048727
61,VisualCogB_Task-2,record,2,0.5472972972972974
62,all,all,0,0.50454840805718
62,task1,task,1,0.5062367115520907
62,task2,task,2,0.5021342360906682
62,VisualCogA_Task-1,record,1,0.5316860465116279
62,VisualCogA_Task-2,record,2,0.4749034749034749
62,VisualCogB_Task-1,record,1,0.482281284606866
62,VisualCogB_Task-2,record,2,0.5154440154440154
63,all,all,0,0.4756335282651072
63,task1,task,1,0.5349397590361445
63,task2,task,2,0.415072122460995
63,VisualCogA_Task-1,record,1,0.5648255813953489
63,VisualCogA_Task-2,record,2,0.48152233866519584
63,VisualCogB_Task-1,record,1,0.506921373200443
63,VisualCogB_Task-2,record,2,0.34716859716859716
64,all,all,0,0.5134827810266407
64,task1,task,1,0.48214032600992207
64,task2,task,2,0.5454077126876655
64,VisualCogA_Task-1,record,1,0.49505813953488376
64,VisualCogA_Task-2,record,2,0.5965250965250966
64,VisualCogB_Task-1,record,1,0.47093023255813954
64,VisualCogB_Task-2,record,2,0.4948519948519948
65,all,all,0,0.4767706302794022
65,task1,task,1,0.44557051736357195
65,task2,task,2,0.5100088313217545
65,VisualCogA_Task-1,record,1,0.3941860465116279
65,VisualCogA_Task-2,record,2,0.5388858246001103
65,VisualCogB_Task-1,record,1,0.4947397563676634
65,VisualCogB_Task-2,record,2,0.4797297297297297
66,all,all,0,0.4337231968810916
66,task1,task,1,0.4871722182849043
66,task2,task,2,0.3796732410950839
66,VisualCogA_Task-1,record,1,0.4334302325581395
66,VisualCogA_Task-2,record,2,0.3530060672917816
66,VisualCogB_Task-1,record,1,0.5429125138427464
66,VisualCogB_Task-2,record,2,0.38996138996138996
67,all,all,0,0.5
67,task1,task,1,0.48157335223245923
67,task2,task,2,0.5185457756844274
67,VisualCogA_Task-1,record,1,0.588953488372093
67,VisualCogA_Task-2,record,2,0.512134583563155
67,VisualCogB_Task-1,record,1,0.37707641196013286
67,VisualCogB_Task-2,record,2,0.5218790218790219
68,all,all,0,0.48619233268356077
68,task1,task,1,0.571367824238129
68,task2,task,2,0.3991757433029144
68,VisualCogA_Task-1,record,1,0.5031976744186046
68,VisualCogA_Task-2,record,2,0.4136789851075565
68,VisualCogB_Task-1,record,1,0.6345514950166113
68,VisualCogB_Task-2,record,2,0.37966537966537967
69,all,all,0,0.47368421052631576
69,task1,task,1,0.505669737774628
69,task2,task,2,0.44090373859287607
69,VisualCogA_Task-1,record,1,0.588953488372093
69,VisualCogA_Task-2,record,2,0.5052399338113623
69,VisualCogB_Task-1,record,1,0.42358803986710963
69,VisualCogB_Task-2,record,2,0.36776061776061775
70,all,all,0,0.4537037037037037
70,task1,task,1,0.37597448618001417
70,task2,task,2,0.5306888430968502
70,VisualCogA_Task-1,record,1,0.31366279069767444
70,VisualCogA_Task-2,record,2,0.5799779371207943
70,VisualCogB_Task-1,record,1,0.4335548172757475
70,VisualCogB_Task-2,record,2,0.4694337194337195
71,all,all,0,0.5523066926575698
71,task1,task,1,0.5597448618001417
71,task2,task,2,0.5438622313806301
71,VisualCogA_Task-1,record,1,0.5450581395348837
71,VisualCogA_Task-2,record,2,0.5493656922228352
71,VisualCogB_Task-1,record,1,0.5769656699889258
71,VisualCogB_Task-2,record,2,0.5321750321750323
72,all,all,0,0.4686484730344379
72,task1,task,1,0.4818568391211906
72,task2,task,2,0.45613776861937005
72,VisualCogA_Task-1,record,1,0.5200581395348837
72,VisualCogA_Task-2,record,2,0.41340319911748485
72,VisualCogB_Task-1,record,1,0.4482281284606866
72,VisualCogB_Task-2,record,2,0.5051480051480052
73,all,all,0,0.5474333983105912
73,task1,task,1,0.5482636428065202
73,task2,task,2,0.5459228731233441
73,VisualCogA_Task-1,record,1,0.5566860465116279
73,VisualCogA_Task-2,record,2,0.5730832873690017
73,VisualCogB_Task-1,record,1,0.5406976744186047
73,VisualCogB_Task-2,record,2,0.5003217503217503
74,all,all,0,0.5219298245614035
74,task1,task,1,0.5719347980155918
74,task2,task,2,0.46894318516337946
74,VisualCogA_Task-1,record,1,0.5674418604651162
74,VisualCogA_Task-2,record,2,0.5325427468284611
74,VisualCogB_Task-1,record,1,0.575858250276855
74,VisualCogB_Task-2,record,2,0.3963963963963964
75,all,all,0,0.4801819363222872
75,task1,task,1,0.44068036853295534
75,task2,task,2,0.5195760965557845
75,VisualCogA_Task-1,record,1,0.5191860465116279
75,VisualCogA_Task-2,record,2,0.6103143960286816
75,VisualCogB_Task-1,record,1,0.3646179401993356
75,VisualCogB_Task-2,record,2,0.4185971685971686
76,all,all,0,0.4835932423651722
76,task1,task,1,0.46435152374202693
76,task2,task,2,0.5031645569620253
76,VisualCogA_Task-1,record,1,0.4825581395348837
76,VisualCogA_Task-2,record,2,0.5694980694980695
76,VisualCogB_Task-1,record,1,0.44712070874861576
76,VisualCogB_Task-2,record,2,0.4288931788931789
77,all,all,0,0.505685510071475
77,task1,task,1,0.3922041105598866
77,task2,task,2,0.6209891080365029
77,VisualCogA_Task-1,record,1,0.34854651162790695
77,VisualCogA_Task-2,record,2,0.6340319911748483
77,VisualCogB_Task-1,record,1,0.43632336655592474
77,VisualCogB_Task-2,record,2,0.6148648648648649
78,all,all,0,0.5344379467186484
78,task1,task,1,0.5357902197023388
78,task2,task,2,0.5327494848395643
78,VisualCogA_Task-1,record,1,0.6389534883720931
78,VisualCogA_Task-2,record,2,0.6271373414230557
78,VisualCogB_Task-1,record,1,0.4352159468438538
78,VisualCogB_Task-2,record,2,0.43050193050193053
79,all,all,0,0.46962313190383365
79,task1,task,1,0.4418143160878809
79,task2,task,2,0.49580512216661765
79,VisualCogA_Task-1,record,1,0.3994186046511628
79,VisualCogA_Task-2,record,2,0.48152233866519584
79,VisualCogB_Task-1,record,1,0.480343300110742
79,VisualCogB_Task-2,record,2,0.5067567567567568
80,all,all,0,0.5615659519168291
80,task1,task,1,0.5895818568391211
80,task2,task,2,0.5322343244038859
80,VisualCogA_Task-1,record,1,0.6648255813953488
80,VisualCogA_Task-2,record,2,0.4611141753998897
80,VisualCogB_Task-1,record,1,0.517718715393134
80,VisualCogB_Task-2,record,2,0.61003861003861
81,all,all,0,0.49821312540610785
81,task1,task,1,0.506094968107725
81,task2,task,2,0.489476008242567
81,VisualCogA_Task-1,record,1,0.47093023255813954
81,VisualCogA_Task-2,record,2,0.5526751241036956
81,VisualCogB_Task-1,record,1,0.54125138427464
81,VisualCogB_Task-2,record,2,0.4185971685971686
82,all,all,0,0.5108836907082521
82,task1,task,1,0.5474131821403261
82,task2,task,2,0.4746099499558434
82,VisualCogA_Task-1,record,1,0.5049418604651162
82,VisualCogA_Task-2,record,2,0.4371207942636514
82,VisualCogB_Task-1,record,1,0.5883167220376523
82,VisualCogB_Task-2,record,2,0.5170527670527671
83,all,all,0,0.5386614684860299
83,task1,task,1,0.5362154500354359
83,task2,task,2,0.5411392405063291
83,VisualCogA_Task-1,record,1,0.5683139534883721
83,VisualCogA_Task-2,record,2,0.5115830115830116
83,VisualCogB_Task-1,record,1,0.5055370985603543
83,VisualCogB_Task-2,record,2,0.583011583011583
84,all,all,0,0.447043534762833
84,task1,task,1,0.4114103472714387
84,task2,task,2,0.4810862525758022
84,VisualCogA_Task-1,record,1,0.42093023255813955
84,VisualCogA_Task-2,record,2,0.5901820187534473
84,VisualCogB_Task-1,record,1,0.39839424141749724
84,VisualCogB_Task-2,record,2,0.3574646074646075
85,all,all,0,0.5216049382716049
85,task1,task,1,0.5231750531537916
85,task2,task,2,0.5206064174271416
85,VisualCogA_Task-1,record,1,0.5165697674418605
85,VisualCogA_Task-2,record,2,0.4544953116381688
85,VisualCogB_Task-1,record,1,0.5301771871539314
85,VisualCogB_Task-2,record,2,0.5797940797940798
86,all,all,0,0.4686484730344379
86,task1,task,1,0.44053862508858965
86,task2,task,2,0.49735060347365323
86,VisualCogA_Task-1,record,1,0.39767441860465114
86,VisualCogA_Task-2,record,2,0.4509100937672367
86,VisualCogB_Task-1,record,1,0.482281284606866
